0.121904762,New Point
5.953015873,New Point
7.395555556,New Point
12.434285714,New Point
14.750476190,New Point
16.928798186,New Point
17.052154195,New Point
19.225396825,New Point
19.809523810,New Point
21.960997732,New Point
22.298412698,New Point
28.760090703,New Point
29.547392290,New Point
41.146485261,New Point
41.211791383,New Point
41.393197279,New Point
41.531065760,New Point
45.021315193,New Point
47.082086168,New Point
50.768253968,New Point
58.013605442,New Point
61.239002268,New Point
61.362358277,New Point
61.540136054,New Point
61.685260771,New Point
64.968707483,New Point
65.382312925,New Point
72.177777778,New Point
72.471655329,New Point
72.605895692,New Point
72.718367347,New Point
87.248979592,New Point
88.852607710,New Point
93.028571429,New Point
93.228117914,New Point
93.427664399,New Point
93.587301587,New Point
99.987301587,New Point
100.633106576,New Point
103.198185941,New Point
103.346938776,New Point
107.784126984,New Point
108.401269841,New Point
110.638730159,New Point
111.212698413,New Point
115.215238095,New Point
115.837460317,New Point
128.327619048,New Point
130.173968254,New Point
131.418412698,New Point
131.862857143,New Point
138.862222222,New Point
138.918095238,New Point
139.113650794,New Point
139.182222222,New Point
145.404444444,New Point
146.557460317,New Point
160.614603175,New Point
177.704126984,New Point
181.879002268,New Point
185.094965986,New Point
189.486439909,New Point
192.272834467,New Point
193.886621315,New Point
194.107210884,New Point
195.718095238,New Point
195.953197279,New Point
199.433287982,New Point
199.671292517,New Point
201.273469388,New Point
201.496961451,New Point
203.125260771,New Point
203.334240363,New Point
209.110204082,New Point
221.808616780,New Point
228.954557823,New Point
229.192562358,New Point
237.836190476,New Point
240.425215420,New Point
245.434920635,New Point
